UTC,timestamp,kW-1,kW-2,kW-3,kW-4,kW-5,kW-6,kW-7,kW-8,kW-9,kW-10
1422911040,2/2/2015 16:04,0.747216667,0.789116667,1.42615,73.69995,2.531533333,0.340516667,1.9807,2.02075,0,0.3072
1422911100,2/2/2015 16:05,0.869033333,0.819883333,1.42395,73.48348333,2.395933333,0.340766667,1.953233333,2.075383333,0,0.306683333
1422911160,2/2/2015 16:06,0.922983333,0.756933333,1.42205,73.40055,2.338533333,0.34145,1.8994,2.046266667,0,0.3071
1422911220,2/2/2015 16:07,1.156766667,0.703283333,1.417583333,72.69391667,2.295283333,0.3414,1.91325,2.009366667,0,0.293383333
1422911280,2/2/2015 16:08,1.058583333,0.67095,1.420833333,71.85345,2.329483333,0.341083333,1.866016667,2.02015,0,0.297533333
1422911340,2/2/2015 16:09,1.061016667,0.64875,1.42515,71.17551667,2.231166667,0.3417,1.7627,2.033916667,0,0.30615
1422911400,2/2/2015 16:10,1.169766667,0.73405,1.427433333,70.74191667,2.142716667,0.343383333,1.7038,1.888366667,0,0.305716667
1422911460,2/2/2015 16:11,1.08065,0.636866667,1.4328,70.53353333,1.958366667,0.34435,1.67205,1.846716667,0,0.305866667
1422911520,2/2/2015 16:12,0.926883333,0.7028,1.436916667,70.39121667,1.86605,0.345416667,1.656183333,1.777583333,0,0.298116667
1422911580,2/2/2015 16:13,0.782716667,0.838,1.441516667,70.42566667,1.9386,0.347283333,1.714633333,1.761633333,0,0.309366667
1422911640,2/2/2015 16:14,0.663966667,0.810666667,1.452183333,70.77071667,1.893666667,0.351366667,1.814566667,1.764716667,0,0.310816667
1422911700,2/2/2015 16:15,0.65365,0.744966667,1.466483333,71.18295,1.989383333,0.3575,1.819683333,1.7521,0,0.31125
1422911760,2/2/2015 16:16,0.594966667,0.63645,1.4782,71.69945,2.1223,0.366616667,1.89825,1.737333333,0,0.312
1422911820,2/2/2015 16:17,0.522716667,0.69425,1.489583333,72.16695,2.26885,0.3786,1.942716667,1.803616667,0,0.315366667
1422911880,2/2/2015 16:18,0.554016667,0.6917,1.50365,72.381,2.35685,0.39185,1.945716667,1.96105,0,0.287566667
1422911940,2/2/2015 16:19,0.516983333,0.684183333,1.52065,72.32126667,2.4231,0.401666667,1.895866667,1.96855,0,0.318916667
1422912000,2/2/2015 16:20,0.4514,0.565366667,1.5387,72.09016667,2.3332,0.410533333,1.857533333,1.97815,0,0.318683333
1422912060,2/2/2015 16:21,0.42515,0.5838,1.551583333,71.9505,2.3153,0.419483333,1.768183333,1.915983333,0,0.319033333
1422912120,2/2/2015 16:22,0.3829,0.704716667,1.563766667,71.68158333,2.192033333,0.427866667,1.704766667,1.881283333,0,0.3095
1422912180,2/2/2015 16:23,0.425683333,0.728916667,1.57635,71.66981667,2.0726,0.433016667,1.661633333,1.782133333,0,0.3211
1422912240,2/2/2015 16:24,0.539966667,0.65895,1.59105,72.14058333,2.068833333,0.43645,1.652466667,1.752416667,0,0.321283333
1422912300,2/2/2015 16:25,0.536833333,0.667533333,1.603466667,71.9066,2.020583333,0.438816667,1.61665,1.7233,0,0.320233333
1422912360,2/2/2015 16:26,0.560833333,0.726466667,1.61685,70.92365,2.00285,0.441566667,1.62365,1.670133333,0,0.322366667
1422912420,2/2/2015 16:27,0.541466667,0.738733333,1.633166667,69.83653333,1.973916667,0.44285,1.616916667,1.650283333,0,0.321366667
1422912480,2/2/2015 16:28,0.506983333,0.7488,1.651483333,69.09858333,1.971433333,0.442783333,1.616583333,1.6355,0,0.307383333
1422912540,2/2/2015 16:29,0.487866667,0.731333333,1.669883333,68.79913333,1.956483333,0.441633333,1.580083333,1.625983333,0,0.308466667
1422912600,2/2/2015 16:30,0.558783333,0.681383333,1.678333333,68.80318333,1.878533333,0.439583333,1.56495,1.57735,0,0.323033333
1422912660,2/2/2015 16:31,0.575633333,0.630983333,1.688083333,69.03633333,1.83185,0.43825,1.531716667,1.565866667,0,0.323783333
1422912720,2/2/2015 16:32,0.628683333,0.5992,1.7059,69.23868333,1.76295,0.436983333,1.536416667,1.52875,0,0.311383333
1422912780,2/2/2015 16:33,0.6959,0.5562,1.7195,69.50968333,1.763016667,0.436066667,1.514666667,1.513216667,0,0.323216667
1422912840,2/2/2015 16:34,0.7568,0.5225,1.73275,69.85746667,1.777183333,0.43615,1.499033333,1.498666667,0,0.323483333
1422912900,2/2/2015 16:35,0.73225,0.5045,1.740683333,69.79423333,1.774316667,0.4357,1.472516667,1.4831,0,0.32455
1422912960,2/2/2015 16:36,0.795916667,0.504216667,1.7487,69.52953333,1.739133333,0.435183333,1.454283333,1.476366667,0,0.32555
1422913020,2/2/2015 16:37,0.76895,0.509933333,1.759616667,59.42926667,1.712133333,0.434583333,1.442383333,1.46475,0,0.324733333
1422913080,2/2/2015 16:38,0.739966667,0.513483333,1.768666667,48.02036667,1.704433333,0.434066667,1.426483333,1.462616667,0,0.32515
1422913140,2/2/2015 16:39,0.70435,0.509083333,1.779766667,56.53525,1.668116667,0.432983333,1.433016667,1.52535,0,0.303716667
